#Graph	Mean Degree	Degree STD	Mean CC   	CC STD    	Mean SPL  	SPL STD   
Vor_25 	5.70000   	1.39929   	0.44663   	0.13031   	9.80845   	4.40178   
Vor_26 	5.70400   	1.42842   	0.44735   	0.12990   	9.74852   	4.31752   
Vor_27 	5.70800   	1.45421   	0.44971   	0.13545   	9.30633   	4.01945   
Vor_28 	5.71200   	1.38024   	0.44473   	0.12934   	9.64863   	4.26691   
Vor_29 	5.70400   	1.48741   	0.44991   	0.13461   	9.76876   	4.36311   
Vor_30 	5.70400   	1.44512   	0.45371   	0.14312   	9.71535   	4.31596   
Vor_31 	5.71200   	1.43424   	0.45232   	0.14209   	9.94912   	4.48405   
Vor_32 	5.70800   	1.36335   	0.44686   	0.12998   	9.99044   	4.49781   
Vor_33 	5.72000   	1.42042   	0.44678   	0.13061   	9.76483   	4.39439   
Vor_34 	5.70000   	1.40784   	0.45039   	0.14053   	9.79740   	4.35459   
Vor_35 	5.70000   	1.40784   	0.44685   	0.13348   	9.89967   	4.45876   
Vor_36 	5.70000   	1.44291   	0.45217   	0.14190   	9.66653   	4.30184   
Vor_37 	5.71600   	1.41540   	0.44878   	0.13636   	9.65561   	4.17172   
Vor_38 	5.72000   	1.44693   	0.45374   	0.14860   	9.48403   	4.14266   
Vor_39 	5.70000   	1.38347   	0.44619   	0.12935   	9.74098   	4.32730   
Vor_40 	5.72000   	1.41760   	0.45112   	0.14335   	9.79623   	4.40666   
Vor_41 	5.72000   	1.50120   	0.45000   	0.13592   	9.49489   	4.21338   
Vor_42 	5.70000   	1.41774   	0.44882   	0.13821   	9.67055   	4.30273   
Vor_43 	5.70000   	1.39068   	0.44777   	0.13461   	9.77234   	4.33281   
Vor_44 	5.71200   	1.37297   	0.44699   	0.13520   	9.77999   	4.35271   
Vor_45 	5.70800   	1.39382   	0.44396   	0.12171   	9.86358   	4.38126   
Vor_46 	5.71200   	1.44674   	0.45017   	0.13713   	9.64701   	4.28926   
Vor_47 	5.72400   	1.48048   	0.45129   	0.14088   	9.59780   	4.28303   
Vor_48 	5.70000   	1.44014   	0.45038   	0.13759   	9.55366   	4.17311   
Vor_49 	5.71600   	1.35622   	0.44396   	0.12821   	9.78727   	4.35421   
Vor_50 	5.70000   	1.51855   	0.45639   	0.14927   	9.63093   	4.22139   
Geo_1  	5.85200   	2.64917   	0.59783   	0.24763   	15.24036  	7.85974   
Geo_2  	5.79200   	2.58549   	0.60383   	0.23927   	18.97525  	10.59502  
Geo_3  	5.70000   	2.47265   	0.57463   	0.24294   	12.88269  	6.48384   
Geo_4  	5.75600   	2.54489   	0.58126   	0.25361   	14.71006  	6.84001   
Geo_5  	5.75200   	3.13536   	0.56992   	0.26613   	14.04492  	7.04513   
